Namespace,Key,Full Key Path,English Text,Polski,Română,Español,Português,Deutsch,Français,العربية,Български,Context/Notes
calendar,paymentThisWeek.standardPay,calendar:paymentThisWeek.standardPay,Standard Pay (Week {{week}}),,,,,,,,,
calendar,paymentThisWeek.performanceBonus,calendar:paymentThisWeek.performanceBonus,Performance Bonus (Week {{week}}),,,,,,,,,
calendar,paymentThisWeek.expectedInBank,calendar:paymentThisWeek.expectedInBank,Expected in your bank account this week,,,,,,,,,
calendar,paymentThisWeek.mileageEstimated,calendar:paymentThisWeek.mileageEstimated,Payment includes estimated mileage ({{count}} {{days}}). Actual may vary.,,,,,,,,,
calendar,paymentThisWeek.mileageEstimatedDay,calendar:paymentThisWeek.mileageEstimatedDay,day,,,,,,,,,
calendar,paymentThisWeek.mileageEstimatedDays,calendar:paymentThisWeek.mileageEstimatedDays,days,,,,,,,,,
calendar,paymentThisWeek.missingMileageData,calendar:paymentThisWeek.missingMileageData,Missing mileage data ({{count}} {{days}}). Total may be inaccurate.,,,,,,,,,
calendar,paymentThisWeek.missingMileageDay,calendar:paymentThisWeek.missingMileageDay,day,,,,,,,,,
calendar,paymentThisWeek.missingMileageDays,calendar:paymentThisWeek.missingMileageDays,days,,,,,,,,,
calendar,paymentThisWeek.missingRankingsTitle,calendar:paymentThisWeek.missingRankingsTitle,Missing Performance Rankings,,,,,,,,,
calendar,paymentThisWeek.missingRankingsMessage,calendar:paymentThisWeek.missingRankingsMessage,Week {{week}} rankings haven't been entered yet. Click here to add them and estimate your bonus payment.,,,,,,,,,
calendar,paymentThisWeek.estimatedBadge,calendar:paymentThisWeek.estimatedBadge,Est,,,,,,,,,
common,actions.add,common:actions.add,Add,,,,,,,,,
common,actions.edit,common:actions.edit,Edit,,,,,,,,,
common,actions.save,common:actions.save,Save,,,,,,,,,
common,actions.cancel,common:actions.cancel,Cancel,,,,,,,,,
common,actions.delete,common:actions.delete,Delete,,,,,,,,,
common,actions.confirm,common:actions.confirm,Confirm,,,,,,,,,
common,actions.back,common:actions.back,Back,,,,,,,,,
common,actions.next,common:actions.next,Next,,,,,,,,,
common,actions.skip,common:actions.skip,Skip,,,,,,,,,
common,actions.close,common:actions.close,Close,,,,,,,,,
common,actions.continue,common:actions.continue,Continue,,,,,,,,,
common,actions.finish,common:actions.finish,Finish,,,,,,,,,
common,actions.reset,common:actions.reset,Reset,,,,,,,,,
common,actions.clear,common:actions.clear,Clear,,,,,,,,,
common,actions.submit,common:actions.submit,Submit,,,,,,,,,
common,actions.update,common:actions.update,Update,,,,,,,,,
common,labels.email,common:labels.email,Email,,,,,,,,,
common,labels.password,common:labels.password,Password,,,,,,,,,
common,labels.route,common:labels.route,Route,,,,,,,,,
common,labels.notes,common:labels.notes,Notes,,,,,,,,,
common,labels.optional,common:labels.optional,(optional),,,,,,,,,
common,labels.required,common:labels.required,Required,,,,,,,,,
common,labels.yes,common:labels.yes,Yes,,,,,,,,,
common,labels.no,common:labels.no,No,,,,,,,,,
common,time.day,common:time.day,day,,,,,,,,,
common,time.days,common:time.days,days,,,,,,,,,
common,time.week,common:time.week,Week,,,,,,,,,
common,time.weeks,common:time.weeks,weeks,,,,,,,,,
common,time.today,common:time.today,Today,,,,,,,,,
common,time.yesterday,common:time.yesterday,Yesterday,,,,,,,,,
common,time.tomorrow,common:time.tomorrow,Tomorrow,,,,,,,,,
common,currency.symbol,common:currency.symbol,£,,,,,,,,,
common,currency.format,common:currency.format,{{amount}},,,,,,,,,
common,currency.perDay,common:currency.perDay,/ day,,,,,,,,,
common,currency.perWeek,common:currency.perWeek,/ week,,,,,,,,,
common,currency.perMile,common:currency.perMile,/ mile,,,,,,,,,
common,loading,common:loading,Loading...,,,,,,,,,
common,pleaseWait,common:pleaseWait,Please wait...,,,,,,,,,
common,error,common:error,Error,,,,,,,,,
common,success,common:success,Success,,,,,,,,,
common,pwaUpdate.title,common:pwaUpdate.title,Update Available,,,,,,,,,
common,pwaUpdate.description,common:pwaUpdate.description,A new version of Wager is ready to install.,,,,,,,,,
common,pwaUpdate.updateNow,common:pwaUpdate.updateNow,Update Now,,,,,,,,,
common,pwaUpdate.later,common:pwaUpdate.later,Later,,,,,,,,,
dashboard,pageTitle,dashboard:pageTitle,Dashboard,,,,,,,,,
dashboard,paymentTile.title,dashboard:paymentTile.title,Payment This Week,,,,,,,,,
dashboard,paymentTile.loading,dashboard:paymentTile.loading,Loading...,,,,,,,,,
dashboard,paymentTile.expectedInAccount,dashboard:paymentTile.expectedInAccount,Expected in your account,,,,,,,,,
dashboard,paymentTile.weekInfo,dashboard:paymentTile.weekInfo,"Week {{week}}, {{year}}",,,,,,,,,
dashboard,paymentTile.tapForBreakdown,dashboard:paymentTile.tapForBreakdown,Tap for breakdown,,,,,,,,,
dashboard,paymentTile.modalTitle,dashboard:paymentTile.modalTitle,Payment Breakdown,,,,,,,,,
dashboard,paymentTile.standardPay,dashboard:paymentTile.standardPay,Standard Pay (Week {{week}}),,,,,,,,,
dashboard,paymentTile.performanceBonus,dashboard:paymentTile.performanceBonus,Performance Bonus (Week {{week}}),,,,,,,,,
dashboard,paymentTile.totalPayment,dashboard:paymentTile.totalPayment,Total Payment,,,,,,,,,
dashboard,paymentTile.expectedInWeek,dashboard:paymentTile.expectedInWeek,"Expected in Week {{week}}, {{year}}",,,,,,,,,
dashboard,paymentTile.basePay,dashboard:paymentTile.basePay,Base Pay,,,,,,,,,
dashboard,paymentTile.sixDayBonus,dashboard:paymentTile.sixDayBonus,6-Day Bonus,,,,,,,,,
dashboard,paymentTile.sweeps,dashboard:paymentTile.sweeps,Sweeps,,,,,,,,,
dashboard,paymentTile.mileage,dashboard:paymentTile.mileage,Mileage,,,,,,,,,
dashboard,paymentTile.mileageEstimated,dashboard:paymentTile.mileageEstimated,Est,,,,,,,,,
dashboard,paymentTile.vanHire,dashboard:paymentTile.vanHire,Van Hire,,,,,,,,,
dashboard,paymentTile.depositPayment,dashboard:paymentTile.depositPayment,Deposit Payment,,,,,,,,,
dashboard,paymentTile.devicePayment,dashboard:paymentTile.devicePayment,Device Payment,,,,,,,,,
dashboard,paymentTile.invoicing,dashboard:paymentTile.invoicing,Invoicing,,,,,,,,,
dashboard,paymentTile.subtotal,dashboard:paymentTile.subtotal,Subtotal,,,,,,,,,
dashboard,paymentTile.bonus,dashboard:paymentTile.bonus,Bonus,,,,,,,,,
dashboard,paymentTile.mileageEstimatedWarning,dashboard:paymentTile.mileageEstimatedWarning,Includes estimated mileage,,,,,,,,,
dashboard,paymentTile.mileageMissingWarning,dashboard:paymentTile.mileageMissingWarning,Missing mileage data,,,,,,,,,
dashboard,quickAddWorkTile.title,dashboard:quickAddWorkTile.title,Quick Add Work,,,,,,,,,
dashboard,quickAddWorkTile.routeType,dashboard:quickAddWorkTile.routeType,Route Type,,,,,,,,,
dashboard,quickAddWorkTile.routeNumber,dashboard:quickAddWorkTile.routeNumber,Route Number,,,,,,,,,
dashboard,quickAddWorkTile.dailyRate,dashboard:quickAddWorkTile.dailyRate,Daily Rate (£) *,,,,,,,,,
dashboard,quickAddWorkTile.routeTypeNormal,dashboard:quickAddWorkTile.routeTypeNormal,Normal (£{{rate}}),,,,,,,,,
dashboard,quickAddWorkTile.routeTypeDRS,dashboard:quickAddWorkTile.routeTypeDRS,DRS (£{{rate}}),,,,,,,,,
dashboard,quickAddWorkTile.routeTypeManual,dashboard:quickAddWorkTile.routeTypeManual,Manual (Custom),,,,,,,,,
dashboard,quickAddWorkTile.dailyRatePlaceholder,dashboard:quickAddWorkTile.dailyRatePlaceholder,e.g. 180.00,,,,,,,,,
dashboard,quickAddWorkTile.routeNumberPlaceholder,dashboard:quickAddWorkTile.routeNumberPlaceholder,"e.g., DA01",,,,,,,,,
dashboard,quickAddWorkTile.addWorkButton,dashboard:quickAddWorkTile.addWorkButton,Add Work for Today,,,,,,,,,
dashboard,quickAddWorkTile.confirmEditsButton,dashboard:quickAddWorkTile.confirmEditsButton,Confirm Edits,,,,,,,,,
dashboard,quickAddWorkTile.adding,dashboard:quickAddWorkTile.adding,Adding...,,,,,,,,,
dashboard,quickAddWorkTile.updating,dashboard:quickAddWorkTile.updating,Updating...,,,,,,,,,
dashboard,quickAddWorkTile.workLoggedToday,dashboard:quickAddWorkTile.workLoggedToday,Work logged for today,,,,,,,,,
dashboard,quickAddWorkTile.rowReminder,dashboard:quickAddWorkTile.rowReminder,Remember to fill in your receipt of work using the green button above,,,,,,,,,
dashboard,quickAddWorkTile.editWorkAriaLabel,dashboard:quickAddWorkTile.editWorkAriaLabel,Edit today's work,,,,,,,,,
dashboard,quickAddWorkTile.submitRowAriaLabel,dashboard:quickAddWorkTile.submitRowAriaLabel,Submit Receipt of Work,,,,,,,,,
dashboard,quickAddWorkTile.rowButtonLabel,dashboard:quickAddWorkTile.rowButtonLabel,RoW,,,,,,,,,
dashboard,quickAddSweepsTile.title,dashboard:quickAddSweepsTile.title,Quick Add Sweeps,,,,,,,,,
dashboard,quickAddSweepsTile.stopsYouSwept,dashboard:quickAddSweepsTile.stopsYouSwept,Stops You Swept (You helped),,,,,,,,,
dashboard,quickAddSweepsTile.stopsOthersSwept,dashboard:quickAddSweepsTile.stopsOthersSwept,Stops Others Swept For You,,,,,,,,,
dashboard,quickAddSweepsTile.stopsYouSweptShort,dashboard:quickAddSweepsTile.stopsYouSweptShort,Stops You Swept,,,,,,,,,
dashboard,quickAddSweepsTile.stopsOthersSweptShort,dashboard:quickAddSweepsTile.stopsOthersSweptShort,Stops Others Swept For You,,,,,,,,,
dashboard,quickAddSweepsTile.youHelpedDrivers,dashboard:quickAddSweepsTile.youHelpedDrivers,You helped behind drivers,,,,,,,,,
dashboard,quickAddSweepsTile.othersHelpedYou,dashboard:quickAddSweepsTile.othersHelpedYou,Others helped you,,,,,,,,,
dashboard,quickAddSweepsTile.sweepsLoggedToday,dashboard:quickAddSweepsTile.sweepsLoggedToday,Sweeps logged for today,,,,,,,,,
dashboard,quickAddSweepsTile.addWorkFirst,dashboard:quickAddSweepsTile.addWorkFirst,Add work for today first to enable sweeps,,,,,,,,,
dashboard,quickAddSweepsTile.updateButton,dashboard:quickAddSweepsTile.updateButton,Update Sweeps,,,,,,,,,
dashboard,quickAddSweepsTile.updating,dashboard:quickAddSweepsTile.updating,Updating...,,,,,,,,,
dashboard,quickAddSweepsTile.editSweepsAriaLabel,dashboard:quickAddSweepsTile.editSweepsAriaLabel,Edit today's sweeps,,,,,,,,,
dashboard,quickAddSweepsTile.totalExceedsMax,dashboard:quickAddSweepsTile.totalExceedsMax,Total sweeps cannot exceed 200,,,,,,,,,
dashboard,quickAddOdometerTile.title,dashboard:quickAddOdometerTile.title,Quick Add Odometer,,,,,,,,,
dashboard,quickAddOdometerTile.vanLoggedMiles,dashboard:quickAddOdometerTile.vanLoggedMiles,Van Logged Miles,,,,,,,,,
dashboard,quickAddOdometerTile.odometerLoggedToday,dashboard:quickAddOdometerTile.odometerLoggedToday,Odometer logged for today,,,,,,,,,
dashboard,quickAddOdometerTile.addWorkFirst,dashboard:quickAddOdometerTile.addWorkFirst,Add work for today first to log miles,,,,,,,,,
dashboard,quickAddOdometerTile.enterTotalMiles,dashboard:quickAddOdometerTile.enterTotalMiles,Enter total miles,,,,,,,,,
dashboard,quickAddOdometerTile.updateButton,dashboard:quickAddOdometerTile.updateButton,Update Odometer,,,,,,,,,
dashboard,quickAddOdometerTile.updating,dashboard:quickAddOdometerTile.updating,Updating...,,,,,,,,,
dashboard,quickAddOdometerTile.editOdometerAriaLabel,dashboard:quickAddOdometerTile.editOdometerAriaLabel,Edit today's van miles,,,,,,,,,
dashboard,rankingsReminderTile.title,dashboard:rankingsReminderTile.title,Rankings Reminder,,,,,,,,,
dashboard,rankingsReminderTile.performanceRankingsTitle,dashboard:rankingsReminderTile.performanceRankingsTitle,Performance Rankings,,,,,,,,,
dashboard,rankingsReminderTile.weekRankingsEntered,dashboard:rankingsReminderTile.weekRankingsEntered,Week {{week}} rankings entered,,,,,,,,,
dashboard,rankingsReminderTile.individual,dashboard:rankingsReminderTile.individual,Individual,,,,,,,,,
dashboard,rankingsReminderTile.company,dashboard:rankingsReminderTile.company,Company,,,,,,,,,
dashboard,rankingsReminderTile.weekNumber,dashboard:rankingsReminderTile.weekNumber,Week {{week}},,,,,,,,,
dashboard,rankingsReminderTile.noBonusNoDaysWorked,dashboard:rankingsReminderTile.noBonusNoDaysWorked,No bonus eligible - no days worked,,,,,,,,,
dashboard,rankingsReminderTile.rankingsMissing,dashboard:rankingsReminderTile.rankingsMissing,Week {{week}} rankings are missing!,,,,,,,,,
dashboard,rankingsReminderTile.enterRankingsButton,dashboard:rankingsReminderTile.enterRankingsButton,Enter Rankings Now,,,,,,,,,
dashboard,rankingsReminderTile.modalTitle,dashboard:rankingsReminderTile.modalTitle,Enter Rankings - Week {{week}},,,,,,,,,
dashboard,rankingsReminderTile.individualLevel,dashboard:rankingsReminderTile.individualLevel,Individual Level,,,,,,,,,
dashboard,rankingsReminderTile.companyLevel,dashboard:rankingsReminderTile.companyLevel,Company Level,,,,,,,,,
dashboard,rankingsReminderTile.projectedBonus,dashboard:rankingsReminderTile.projectedBonus,Projected Bonus: £{{amount}},,,,,,,,,
dashboard,rankingsReminderTile.bonusCalculation,dashboard:rankingsReminderTile.bonusCalculation,{{days}} days × £{{rate}}/day,,,,,,,,,
dashboard,rankingsReminderTile.saveButton,dashboard:rankingsReminderTile.saveButton,Save Rankings,,,,,,,,,
dashboard,rankingsReminderTile.saving,dashboard:rankingsReminderTile.saving,Saving...,,,,,,,,,
dashboard,rankingsReminderTile.closeAriaLabel,dashboard:rankingsReminderTile.closeAriaLabel,Close rankings entry,,,,,,,,,
dashboard,vanStatusTile.title,dashboard:vanStatusTile.title,Van Status,,,,,,,,,
dashboard,vanStatusTile.noVanOnHire,dashboard:vanStatusTile.noVanOnHire,No Van On Hire,,,,,,,,,
dashboard,vanStatusTile.visitVanManagement,dashboard:vanStatusTile.visitVanManagement,Visit Van Management to add a van hire,,,,,,,,,
dashboard,vanStatusTile.lastVan,dashboard:vanStatusTile.lastVan,Last Van,,,,,,,,,
dashboard,vanStatusTile.currentVan,dashboard:vanStatusTile.currentVan,Current Van,,,,,,,,,
dashboard,vanStatusTile.offHired,dashboard:vanStatusTile.offHired,Off-Hired,,,,,,,,,
dashboard,vanStatusTile.offHiredDate,dashboard:vanStatusTile.offHiredDate,Off-hired: {{date}},,,,,,,,,
dashboard,vanStatusTile.weeklyRate,dashboard:vanStatusTile.weeklyRate,£{{rate}}/week,,,,,,,,,
dashboard,vanStatusTile.depositProgress,dashboard:vanStatusTile.depositProgress,Deposit Progress,,,,,,,,,
dashboard,vanStatusTile.depositAmount,dashboard:vanStatusTile.depositAmount,£{{paid}} / £500,,,,,,,,,
dashboard,vanStatusTile.offHireButton,dashboard:vanStatusTile.offHireButton,Off-Hire Van,,,,,,,,,
dashboard,vanStatusTile.modalTitle,dashboard:vanStatusTile.modalTitle,Off-Hire Van,,,,,,,,,
dashboard,vanStatusTile.modalDescription,dashboard:vanStatusTile.modalDescription,Enter the date when the van was returned. The deposit will be held for 6 weeks.,,,,,,,,,
dashboard,vanStatusTile.importantTitle,dashboard:vanStatusTile.importantTitle,Important: Same-Day Van Swaps,,,,,,,,,
dashboard,vanStatusTile.importantDescription,dashboard:vanStatusTile.importantDescription,"The off-hire date is the last day you had the van. If you're picking up a new van the same morning you're returning this one, off-hire this van on the previous day to avoid counting the same day twice.",,,,,,,,,
dashboard,vanStatusTile.offHireDateLabel,dashboard:vanStatusTile.offHireDateLabel,Off-Hire Date *,,,,,,,,,
dashboard,vanStatusTile.confirmButton,dashboard:vanStatusTile.confirmButton,Confirm Off-Hire,,,,,,,,,
dashboard,vanStatusTile.closeAriaLabel,dashboard:vanStatusTile.closeAriaLabel,Close van details,,,,,,,,,
domain,routeTypes.Normal,domain:routeTypes.Normal,Normal,,,,,,,,,
domain,routeTypes.DRS,domain:routeTypes.DRS,DRS,,,,,,,,,
domain,routeTypes.Manual,domain:routeTypes.Manual,Manual,,,,,,,,,
domain,performanceLevels.Poor,domain:performanceLevels.Poor,Poor,,,,,,,,,
domain,performanceLevels.Fair,domain:performanceLevels.Fair,Fair,,,,,,,,,
domain,performanceLevels.Great,domain:performanceLevels.Great,Great,,,,,,,,,
domain,performanceLevels.Fantastic,domain:performanceLevels.Fantastic,Fantastic,,,,,,,,,
domain,performanceLevels.FantasticPlus,domain:performanceLevels.FantasticPlus,Fantastic+,,,,,,,,,
domain,vanTypes.Fleet,domain:vanTypes.Fleet,Fleet,,,,,,,,,
domain,vanTypes.Flexi,domain:vanTypes.Flexi,Flexi,,,,,,,,,
domain,invoicingServices.SelfInvoicing,domain:invoicingServices.SelfInvoicing,Self-Invoicing,,,,,,,,,
domain,invoicingServices.VersoBasic,domain:invoicingServices.VersoBasic,Verso-Basic,,,,,,,,,
domain,invoicingServices.VersoFull,domain:invoicingServices.VersoFull,Verso-Full,,,,,,,,,
onboarding,welcome.title,onboarding:welcome.title,Welcome to Wager!,,,,,,,,,
onboarding,welcome.subtitle,onboarding:welcome.subtitle,Let's get your pay tracking set up in under 2 minutes.,,,,,,,,,
onboarding,welcome.description,onboarding:welcome.description,We need a few quick details to calculate your earnings accurately:,,,,,,,,,
onboarding,welcome.letsGo,onboarding:welcome.letsGo,Let's Go,,,,,,,,,
onboarding,welcome.setupLater,onboarding:welcome.setupLater,I'll Set Up Later,,,,,,,,,
onboarding,welcome.features.trackPay.title,onboarding:welcome.features.trackPay.title,Track Pay,,,,,,,,,
onboarding,welcome.features.trackPay.description,onboarding:welcome.features.trackPay.description,"Calculate standard pay, 6-day bonuses, and performance bonuses automatically",,,,,,,,,
onboarding,welcome.features.weeklyCalendar.title,onboarding:welcome.features.weeklyCalendar.title,Weekly Calendar,,,,,,,,,
onboarding,welcome.features.weeklyCalendar.description,onboarding:welcome.features.weeklyCalendar.description,"Log work days, sweeps, and mileage with an intuitive calendar view",,,,,,,,,
onboarding,welcome.features.vanTracking.title,onboarding:welcome.features.vanTracking.title,Van Tracking,,,,,,,,,
onboarding,welcome.features.vanTracking.description,onboarding:welcome.features.vanTracking.description,"Track van hire costs, deposits, and mileage discrepancies",,,,,,,,,
onboarding,welcome.features.customizable.title,onboarding:welcome.features.customizable.title,Customizable,,,,,,,,,
onboarding,welcome.features.customizable.description,onboarding:welcome.features.customizable.description,"Adjust rates, mileage, and settings to match your DSP's pay structure",,,,,,,,,
onboarding,payRates.title,onboarding:payRates.title,Your Daily Pay Rates,,,,,,,,,
onboarding,payRates.subtitle,onboarding:payRates.subtitle,These rates are used to calculate your weekly earnings,,,,,,,,,
onboarding,payRates.normalRouteRate,onboarding:payRates.normalRouteRate,Normal Route Rate,,,,,,,,,
onboarding,payRates.drsRouteRate,onboarding:payRates.drsRouteRate,DRS Route Rate,,,,,,,,,
onboarding,payRates.perDay,onboarding:payRates.perDay,/ day,,,,,,,,,
onboarding,payRates.disclaimer.title,onboarding:payRates.disclaimer.title,Not sure about your rates?,,,,,,,,,
onboarding,payRates.disclaimer.description,onboarding:payRates.disclaimer.description,Check with your manager to confirm your exact daily rates. You can always update these later in Settings.,,,,,,,,,
onboarding,payRates.step,onboarding:payRates.step,Step 1 of 4,,,,,,,,,
onboarding,invoicing.title,onboarding:invoicing.title,Invoicing Service,,,,,,,,,
onboarding,invoicing.subtitle,onboarding:invoicing.subtitle,Choose how you handle invoicing and accounting,,,,,,,,,
onboarding,invoicing.options.selfInvoicing.label,onboarding:invoicing.options.selfInvoicing.label,Self-Invoicing,,,,,,,,,
onboarding,invoicing.options.selfInvoicing.cost,onboarding:invoicing.options.selfInvoicing.cost,£0,,,,,,,,,
onboarding,invoicing.options.selfInvoicing.description,onboarding:invoicing.options.selfInvoicing.description,Handle your own invoicing and tax returns,,,,,,,,,
onboarding,invoicing.options.selfInvoicing.features.noDeduction,onboarding:invoicing.options.selfInvoicing.features.noDeduction,No weekly deduction,,,,,,,,,
